Time,Flux,Flux err
2459064.928948259,6308.965,10.886008
2459064.930337146,6305.0684,10.881058
2459064.931726033,6291.662,10.881187
2459064.93311492,6262.422,10.869272
2459064.9345038068,6280.2524,10.871221
2459064.9358926937,6304.4673,10.876397
2459064.9372815806,6282.705,10.8680725
2459064.938670467,6276.6826,10.874767
2459064.940059354,6272.8457,10.876139
2459064.941448241,6301.4927,10.878245
2459064.942837128,6284.193,10.872588
2459064.9442260144,6287.1006,10.871936
2459064.9456149014,6291.615,10.880114
2459064.9470037883,6285.623,10.877835
2459064.9483926753,6290.4473,10.877404
2459064.949781562,6300.1914,10.879555
2459064.951170449,6263.78,10.863895
2459064.952559336,6284.6655,10.877642
2459064.9539482226,6272.613,10.869536
2459064.9553371095,6285.2695,10.877598
2459064.9567259965,6283.19,10.871783
2459064.9581148834,6294.3525,10.881436
2459064.95950377,6291.4937,10.885977
2459064.960892657,6296.5586,10.880924
2459064.9622815438,6278.8945,10.872053
2459064.9636704307,6280.2964,10.8750105
2459064.9650593176,6291.5957,10.881045
2459064.9664482046,6281.14,10.882351
2459064.967837091,6270.9023,10.867872
2459064.969225978,6290.1206,10.879431
2459064.970614865,6291.437,10.8847275
2459064.972003752,6289.3696,10.893215
2459064.973392639,6282.572,10.868403
2459064.9747815253,6278.064,10.871458
2459064.9761704123,6278.1616,10.873438
2459064.977559299,6283.412,10.87797
2459064.978948186,6264.97,10.862389
2459064.9803370726,6281.073,10.876977
2459064.9817259596,6280.3,10.872216
2459064.9831148465,6287.3413,10.875838
2459064.984503733,6262.584,10.862258
2459064.98589262,6288.848,10.88106
2459064.987281507,6284.6294,10.878853
2459064.988670394,6293.007,10.883283
2459064.9900592803,6293.405,10.897337
2459064.9914481672,6272.828,10.869292
2459064.992837054,6281.925,10.876961
2459064.9942259407,6296.4346,10.881831
2459064.9956148276,6290.8335,10.881305
2459064.9970037146,6281.4526,10.872853
2459064.998392601,6286.9897,10.876624
2459064.999781488,6269.3247,10.868843
2459065.001170375,6286.361,10.87483
2459065.0025592614,6273.3735,10.868555
2459065.0039481483,6280.1016,10.871823
2459065.005337035,6279.517,10.872321
2459065.0067259218,6288.6284,10.876961
2459065.0081148087,6301.1855,10.896422
2459065.0095036956,6276.231,10.870024
2459065.010892582,6291.2236,10.879372
2459065.012281469,6269.1104,10.865329
2459065.013670356,6263.1406,10.860595
2459065.0150592425,6284.178,10.871627
2459065.0164481294,6282.222,10.87649
2459065.0178370164,6274.6567,10.873497
2459065.019225903,6271.497,10.867455
2459065.02061479,6292.319,10.875656
2459065.0220036763,6279.325,10.872747
2459065.023392563,6290.876,10.872613
2459065.02478145,6284.2827,10.872788
2459065.0261703366,6294.5654,10.880613
2459065.0275592236,6277.61,10.86484
